experiment_id,chunk_size,chunk_overlap,documents,chunks,ingest_seconds,recall_at_1,recall_at_3,recall_at_5,evidence_recall_at_1,evidence_recall_at_3,evidence_recall_at_5,mrr,citation_valid_id_rate,citation_presence_rate,citation_source_precision,citation_source_recall,required_fact_coverage,abstention_accuracy,query_embedding_count,query_embedding_mean_ms,query_embedding_min_ms,query_embedding_p50_ms,query_embedding_p95_ms,query_embedding_max_ms,vector_search_count,vector_search_mean_ms,vector_search_min_ms,vector_search_p50_ms,vector_search_p95_ms,vector_search_max_ms,retrieval_count,retrieval_mean_ms,retrieval_min_ms,retrieval_p50_ms,retrieval_p95_ms,retrieval_max_ms,generation_count,generation_mean_ms,generation_min_ms,generation_p50_ms,generation_p95_ms,generation_max_ms,end_to_end_count,end_to_end_mean_ms,end_to_end_min_ms,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_max_ms
baseline_900_150,900,150,8,16,3.9771013999998104,0.6,0.84,0.88,0.34,0.6,0.7533333333333333,0.7746666666666667,1.0,0.92,0.76,0.72,0.5233333333333333,1.0,30,2064.298423333397,2041.4851000005,2058.24069999926,2092.0059500004754,2105.6855999995605,30,4.190986666738657,3.3772000006138114,4.121699999814155,4.955530000370345,5.318699999406817,30,2068.489410000135,2045.4836000008072,2062.662499999533,2096.565090000604,2110.1238999999623,30,4047.167483332911,2807.1168000005855,4061.779599998772,4498.906249999618,4620.411899999453,30,6115.687843333338,4860.019199999442,6121.504499999901,6589.639564999379,6678.5767000001215
focused_500_80,500,80,8,28,2.9927511000005325,0.76,0.94,0.94,0.32,0.58,0.7866666666666667,0.92,1.0,0.88,0.88,0.8,0.5433333333333333,1.0,30,2063.7642200001815,2039.7722000016074,2059.7566499991444,2084.0416249990085,2095.2198000013595,30,4.06804333342734,3.04130000040459,4.125899999962712,4.629010000189737,5.4049999998824205,30,2067.832263333609,2044.1836000027251,2063.830600000074,2087.678274999598,2099.5929000018805,30,3410.5540333334525,2969.763500001136,3369.030699999712,3831.893580000269,4040.2930000000197,30,5478.417060000235,5036.873000000924,5435.007950000909,5891.779370000768,6084.50190000076
